,회사명,상장번호
399,모비스,250060
400,모아텍,033200
401,모트렉스,118990
402,모헨즈,006920
403,무림SP,001810
404,미디어젠,279600
405,미래나노텍,095500
406,미래생명자원,218150
407,미래에셋대우스팩 5호,353490
408,미래에셋대우스팩3호,328380
409,미래에셋벤처투자,100790
410,미래컴퍼니,049950
411,미스터블루,207760
412,미코,059090
413,미코바이오메드,214610
414,미투온,201490
415,미투젠,950190
416,민앤지,214180
417,바디텍메드,206640
418,바른손,018700
419,바른손이앤에이,035620
420,바른전자,064520
421,바이넥스,053030
422,바이브컴퍼니,301300
423,바이오니아,064550
424,바이오다인,314930
425,바이오로그디바이스,208710
426,바이오리더스,142760
427,바이오솔루션,086820
428,바이오스마트,038460
429,바이오에프디엔씨,251120
430,바이오톡스텍,086040
431,바이오플러스,099430
432,바이온,032980
433,바이옵트로,222160
434,바이젠셀,308080
435,바텍,043150
436,박셀바이오,323990
437,배럴,267790
438,백금T&A,046310
439,버킷스튜디오,066410
440,베노홀딩스,206400
441,베뉴지,019010
442,베셀,177350
443,베스파,299910
444,보광산업,225530
445,보라티알,250000
446,보성파워텍,006910
447,본느,226340
448,부방,014470
449,부스타,008470
450,뷰노,338220
451,뷰웍스,100120
452,브랜드엑스코퍼레이션,337930
453,브레인즈컴퍼니,099390
454,브리지텍,064480
455,브릿지바이오테라퓨틱스,288330
456,브이씨,365900
457,브이원텍,251630
458,브이티지엠피,018290
459,블루베리 NFT,044480
460,블루콤,033560
461,블리츠웨이,369370
462,비나텍,126340
463,비덴트,121800
464,비디아이,148140
465,비보존 헬스케어,082800
466,비비씨,318410
467,비씨월드제약,200780
468,비아트론,141000
469,비에이치,090460
470,비에이치아이,083650
471,비엠티,086670
472,비올,335890
473,비즈니스온,138580
474,비츠로셀,082920
475,비츠로시스,054220
476,비츠로테크,042370
477,비투엔,307870
478,비트나인,357880
479,비트컴퓨터,032850
480,비피도,238200
481,빅솔론,093190
482,빅텍,065450
483,빛샘전자,072950
484,사람인에이치알,143240
485,삼강엠앤티,100090
486,삼기,122350
487,삼륭물산,014970
488,삼목에스폼,018310
489,삼보모터스,053700
490,삼보산업,009620
491,삼보판지,023600
492,삼성머스트스팩5호,380320
493,삼성스팩4호,377630
494,삼아제약,009300
495,삼양옵틱스,225190
496,삼영에스앤씨,361670
497,삼영엠텍,054540
498,삼영이엔씨,065570
499,삼일,032280
500,삼일기업공사,002290
501,삼지전자,037460
502,삼진,032750
503,삼진엘앤디,054090
504,삼천당제약,000250
505,삼천리자전거,024950
506,삼표시멘트,038500
507,삼현철강,017480
508,삼화네트웍스,046390
509,상보,027580
510,상상인,038540
511,상상인이안제2호스팩,329560
512,상상인인더스트리,101000
513,상신이디피,091580
514,상신전자,263810
515,상아프론테크,089980
516,상지카일룸,042940
517,새로닉스,042600
518,샘씨엔에스,252990
519,샘코,263540
520,서남,294630
521,서린바이오,038070
522,서부T&D,006730
523,서산,079650
524,서암기계공업,100660
525,서연탑메탈,019770
526,서울리거,043710
527,서울바이오시스,092190
528,서울반도체,046890
529,서울옥션,063170
530,서울전자통신,027040
531,서울제약,018680
532,서원인텍,093920
533,서전기전,189860
534,서진시스템,178320
535,서진오토모티브,122690
536,서플러스글로벌,140070
537,서한,011370
538,서호전기,065710
539,서희건설,035890
540,석경에이티,357550
541,선광,003100
542,선데이토즈,123420
543,선익시스템,171090
544,선진뷰티사이언스,086710
545,성광벤드,014620
546,성도이엔지,037350
547,성우전자,081580
548,성우테크론,045300
549,성우하이텍,015750
550,성창오토텍,080470
551,성호전자,043260
552,세경하이테크,148150
553,세동,053060
554,세림B&G,340440
555,세명전기,017510
556,세보엠이씨,011560
557,세영디앤씨,052190
558,세운메디칼,100700
559,세원,234100
560,세원물산,024830
561,세종메디칼,258830
562,세종텔레콤,036630
563,세중,039310
564,세진티에스,067770
565,세코닉스,053450
566,세틀뱅크,234340
567,세화피앤씨,252500
568,센코,347000
569,셀레믹스,331920
570,셀루메드,049180
571,셀리드,299660
572,셀리버리,268600
573,셀바스AI,108860
574,셀바스헬스케어,208370
575,셀트리온제약,068760
576,셀트리온헬스케어,091990
577,소룩스,290690
578,소리바다,053110
579,소마젠,950200
580,소프트센,032680
581,소프트센우,032685
582,소프트캠프,258790
583,손오공,066910
584,솔고바이오,043100
585,솔루에타,154040
586,솔본,035610
587,솔브레인,357780
588,솔브레인홀딩스,036830
589,솔트룩스,304100
590,쇼박스,086980
591,수산아이앤티,050960
592,수성이노베이션,084180
593,수젠텍,253840
594,슈프리마,236200
595,슈프리마아이디,317770
596,슈프리마에이치큐,094840
597,슈피겐코리아,192440
598,스맥,099440
599,스카이문스테크놀로지,033790
600,스카이이앤엠,131100
601,스코넥,276040
602,스킨앤스킨,159910
603,스타플렉스,115570
604,스톤브릿지벤처스,330730
605,스튜디오드래곤,253450
606,스튜디오산타클로스,204630
607,스페코,013810
608,스포츠서울,039670
609,승일,049830
610,시공테크,020710
611,시그네틱스,033170
612,시너지이노베이션,048870
613,시노펙스,025320
614,시스웍,269620
615,시큐브,131090
616,시티랩스,139050
617,신도기연,290520
618,신라섬유,001000
